rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
2.0,Czechia,CZE,772.0,753.0,-1,UEFA,1999-09-15
3.0,France,FRA,766.0,755.0,1,UEFA,1999-09-15
4.0,Spain,ESP,757.0,713.0,-3,UEFA,1999-09-15
5.0,Germany,GER,735.0,718.0,0,UEFA,1999-09-15
6.0,Croatia,CRO,727.0,712.0,-2,UEFA,1999-09-15
7.0,Argentina,ARG,717.0,715.0,1,CONMEBOL,1999-09-15
8.0,Italy,ITA,714.0,720.0,4,UEFA,1999-09-15
9.0,Norway,NOR,712.0,689.0,-2,UEFA,1999-09-15
10.0,Mexico,MEX,709.0,709.0,1,CONCACAF,1999-09-15
21.0,Morocco,MAR,620.0,625.0,2,CAF,1999-09-15
20.0,USA,USA,621.0,623.0,-1,CONCACAF,1999-09-15
19.0,Russia,RUS,642.0,598.0,-9,UEFA,1999-09-15
18.0,Paraguay,PAR,647.0,647.0,2,CONMEBOL,1999-09-15
1.0,Brazil,BRA,838.0,842.0,0,CONMEBOL,1999-09-15
109.0,Lebanon,LBN,347.0,335.0,-3,AFC,1999-09-15
111.0,Venezuela,VEN,340.0,341.0,1,CONMEBOL,1999-09-15
112.0,Malawi,MWI,335.0,341.0,3,CAF,1999-09-15
12.0,England,ENG,683.0,665.0,-2,UEFA,1999-09-15
140.0,Hong Kong,HKG,201.0,206.0,1,AFC,1999-09-15
139.0,Ethiopia,ETH,201.0,205.0,-1,CAF,1999-09-15
138.0,Libya,LBY,206.0,149.0,-18,CAF,1999-09-15
137.0,St Vincent and the Grenadines,VIN,211.0,214.0,0,CONCACAF,1999-09-15
136.0,St Kitts and Nevis,SKN,219.0,220.0,0,CONCACAF,1999-09-15
135.0,Benin,BEN,223.0,228.0,1,CAF,1999-09-15
134.0,Tahiti,TAH,228.0,242.0,4,OFC,1999-09-15
133.0,Madagascar,MAD,232.0,234.0,1,CAF,1999-09-15
132.0,Burundi,BDI,237.0,239.0,1,CAF,1999-09-15
131.0,Tajikistan,TJK,252.0,253.0,2,AFC,1999-09-15
130.0,Eswatini,SWZ,253.0,221.0,-5,CAF,1999-09-15
129.0,Fiji,FIJ,253.0,267.0,3,OFC,1999-09-15
128.0,Liechtenstein,LIE,256.0,228.0,-5,UEFA,1999-09-15
127.0,Myanmar,MYA,267.0,274.0,6,AFC,1999-09-15
126.0,Turkmenistan,TKM,268.0,269.0,1,AFC,1999-09-15
125.0,Luxembourg,LUX,269.0,265.0,-3,UEFA,1999-09-15
124.0,Bahrain,BHR,271.0,273.0,0,AFC,1999-09-15
123.0,Tanzania,TAN,272.0,278.0,4,CAF,1999-09-15
122.0,Grenada,GRN,274.0,274.0,0,CONCACAF,1999-09-15
121.0,Mauritius,MRI,280.0,277.0,1,CAF,1999-09-15
120.0,Sudan,SDN,286.0,288.0,2,CAF,1999-09-15
119.0,Malta,MLT,290.0,274.0,-4,UEFA,1999-09-15
118.0,Kazakhstan,KAZ,299.0,300.0,1,UEFA,1999-09-15
117.0,Malaysia,MAS,301.0,307.0,1,AFC,1999-09-15
116.0,Sierra Leone,SLE,302.0,310.0,1,CAF,1999-09-15
115.0,Jordan,JOR,313.0,265.0,-12,AFC,1999-09-15
114.0,India,IND,318.0,318.0,0,AFC,1999-09-15
113.0,Barbados,BRB,320.0,320.0,0,CONCACAF,1999-09-15
17.0,Yugoslavia,YUG,656.0,620.0,-5,UEFA,1999-09-15
16.0,Denmark,DEN,661.0,627.0,-1,UEFA,1999-09-15
110.0,Faroe Islands,FRO,341.0,350.0,3,UEFA,1999-09-15
14.0,Netherlands,NED,668.0,669.0,1,UEFA,1999-09-15
174.0,Macau,MAC,92.0,94.0,1,AFC,1999-09-15
175.0,Cabo Verde,CPV,88.0,90.0,0,CAF,1999-09-15
176.0,Tonga,TGA,86.0,91.0,2,OFC,1999-09-15
177.0,Samoa,SAM,85.0,89.0,1,OFC,1999-09-15
178.0,Cook Islands,COK,78.0,82.0,0,OFC,1999-09-15
179.0,Papua New Guinea,PNG,78.0,83.0,2,OFC,1999-09-15
180.0,Philippines,PHI,77.0,79.0,1,AFC,1999-09-15
181.0,Pakistan,PAK,75.0,76.0,1,AFC,1999-09-15
182.0,Vanuatu,VAN,67.0,71.0,1,OFC,1999-09-15
183.0,Puerto Rico,PUR,64.0,66.0,1,CONCACAF,1999-09-15
184.0,Brunei Darussalam,BRU,58.0,57.0,0,AFC,1999-09-15
185.0,Chad,CHA,57.0,58.0,2,CAF,1999-09-15
187.0,Bahamas,BAH,47.0,47.0,-1,CONCACAF,1999-09-15
188.0,Belize,BLZ,47.0,47.0,1,CONCACAF,1999-09-15
189.0,Seychelles,SEY,47.0,50.0,4,CAF,1999-09-15
190.0,Nicaragua,NCA,41.0,42.0,1,CONCACAF,1999-09-15
191.0,US Virgin Islands,VIR,32.0,32.0,1,CONCACAF,1999-09-15
192.0,Djibouti,DJI,21.0,22.0,0,CAF,1999-09-15
193.0,Turks and Caicos Islands,TCA,19.0,19.0,0,CONCACAF,1999-09-15
194.0,Equatorial Guinea,EQG,16.0,16.0,0,CAF,1999-09-15
195.0,Sao Tome and Principe,STP,15.0,15.0,0,CAF,1999-09-15
196.0,Somalia,SOM,14.0,14.0,0,CAF,1999-09-15
197.0,Central African Republic,CTA,8.0,8.0,0,CAF,1999-09-15
198.0,Mongolia,MNG,6.0,6.0,-1,AFC,1999-09-15
199.0,American Samoa,ASA,6.0,6.0,1,OFC,1999-09-15
200.0,Guam,GUM,4.0,4.0,0,AFC,1999-09-15
201.0,Anguilla,AIA,3.0,3.0,0,CONCACAF,1999-09-15
15.0,Sweden,SWE,667.0,664.0,0,UEFA,1999-09-15
202.0,Montserrat,MSR,3.0,3.0,0,CONCACAF,1999-09-15
173.0,Chinese Taipei,TPE,98.0,100.0,1,AFC,1999-09-15
172.0,Cambodia,CAM,104.0,104.0,1,AFC,1999-09-15
186.0,Aruba,ARU,48.0,48.0,0,CONCACAF,1999-09-15
171.0,Guyana,GUY,107.0,107.0,1,CONCACAF,1999-09-15
141.0,Solomon Islands,SOL,197.0,209.0,3,OFC,1999-09-15
13.0,Portugal,POR,671.0,679.0,1,UEFA,1999-09-15
142.0,Panama,PAN,193.0,197.0,1,CONCACAF,1999-09-15
143.0,San Marino,SMR,187.0,184.0,0,UEFA,1999-09-15
144.0,Sri Lanka,SRI,184.0,187.0,2,AFC,1999-09-15
145.0,Dominica,DMA,181.0,183.0,0,CONCACAF,1999-09-15
146.0,St Lucia,LCA,181.0,183.0,2,CONCACAF,1999-09-15
147.0,The Gambia,GAM,178.0,182.0,1,CAF,1999-09-15
148.0,Andorra,AND,177.0,152.0,-7,UEFA,1999-09-15
150.0,Antigua and Barbuda,ATG,176.0,176.0,2,CONCACAF,1999-09-15
151.0,Lesotho,LES,173.0,174.0,2,CAF,1999-09-15
152.0,Yemen,YEM,166.0,170.0,2,AFC,1999-09-15
153.0,Dominican Republic,DOM,165.0,165.0,-1,CONCACAF,1999-09-15
154.0,Laos,LAO,165.0,168.0,3,AFC,1999-09-15
155.0,Mauritania,MTN,162.0,166.0,2,CAF,1999-09-15
149.0,Bangladesh,BAN,177.0,178.0,2,AFC,1999-09-15
164.0,Bermuda,BER,133.0,132.0,-1,CONCACAF,1999-09-15
157.0,Rwanda,RWA,151.0,147.0,-1,CAF,1999-09-15
158.0,Cayman Islands,CAY,149.0,149.0,1,CONCACAF,1999-09-15
159.0,Kyrgyz Republic,KGZ,143.0,145.0,0,AFC,1999-09-15
160.0,Maldives,MDV,141.0,140.0,-1,AFC,1999-09-15
161.0,Suriname,SUR,141.0,142.0,1,CONCACAF,1999-09-15
162.0,Botswana,BOT,135.0,136.0,-1,CAF,1999-09-15
163.0,Korea DPR,PRK,135.0,137.0,1,AFC,1999-09-15
165.0,Nepal,NEP,133.0,133.0,1,AFC,1999-09-15
166.0,British Virgin Islands,VGB,132.0,130.0,0,CONCACAF,1999-09-15
168.0,Eritrea,ERI,114.0,117.0,0,CAF,1999-09-15
156.0,Niger,NIG,161.0,167.0,4,CAF,1999-09-15
169.0,Palestine,PLE,113.0,26.0,-22,AFC,1999-09-15
170.0,Guinea-Bissau,GNB,107.0,111.0,1,CAF,1999-09-15
88.0,Guinea,GUI,421.0,426.0,2,CAF,1999-10-13
87.0,Armenia,ARM,423.0,405.0,-4,UEFA,1999-10-13
97.0,Mozambique,MOZ,391.0,395.0,1,CAF,1999-10-13
86.0,Gabon,GAB,428.0,439.0,4,CAF,1999-10-13
89.0,Qatar,QAT,419.0,430.0,4,AFC,1999-10-13
90.0,Togo,TOG,416.0,422.0,3,CAF,1999-10-13
96.0,Belarus,BLR,394.0,378.0,-4,UEFA,1999-10-13
92.0,Oman,OMA,406.0,411.0,2,AFC,1999-10-13
93.0,El Salvador,SLV,402.0,403.0,0,CONCACAF,1999-10-13
94.0,Iraq,IRQ,402.0,404.0,2,AFC,1999-10-13
95.0,Moldova,MDA,401.0,398.0,0,UEFA,1999-10-13
85.0,Namibia,NAM,433.0,432.0,1,CAF,1999-10-13
91.0,Wales,WAL,413.0,443.0,13,UEFA,1999-10-13
84.0,Albania,ALB,433.0,411.0,-4,UEFA,1999-10-13
70.0,Mali,MLI,454.0,455.0,-2,CAF,1999-10-13
82.0,Canada,CAN,438.0,400.0,-12,CONCACAF,1999-10-13
98.0,Azerbaijan,AZE,388.0,386.0,0,UEFA,1999-10-13
69.0,Cyprus,CYP,470.0,467.0,-1,UEFA,1999-10-13
68.0,Zimbabwe,ZIM,472.0,471.0,-1,CAF,1999-10-13
71.0,Guatemala,GUA,453.0,453.0,-2,CONCACAF,1999-10-13
72.0,Estonia,EST,451.0,451.0,-2,UEFA,1999-10-13
73.0,Burkina Faso,BFA,450.0,446.0,-4,CAF,1999-10-13
83.0,Senegal,SEN,435.0,434.0,0,CAF,1999-10-13
74.0,Australia,AUS,448.0,490.0,10,AFC,1999-10-13
76.0,Bosnia and Herzegovina,BIH,442.0,411.0,-13,UEFA,1999-10-13
77.0,Nigeria,NGA,442.0,450.0,1,CAF,1999-10-13
78.0,Northern Ireland,NIR,441.0,456.0,7,UEFA,1999-10-13
79.0,Cuba,CUB,441.0,439.0,-2,CONCACAF,1999-10-13
80.0,Uzbekistan,UZB,440.0,441.0,0,AFC,1999-10-13
81.0,Algeria,ALG,439.0,442.0,2,CAF,1999-10-13
75.0,Honduras,HON,447.0,450.0,0,CONCACAF,1999-10-13
99.0,New Zealand,NZL,384.0,372.0,-5,OFC,1999-10-13
123.0,Tanzania,TAN,268.0,272.0,0,CAF,1999-10-13
101.0,Liberia,LBR,373.0,380.0,2,CAF,1999-10-13
67.0,Costa Rica,CRC,473.0,474.0,0,CONCACAF,1999-10-13
121.0,Grenada,GRN,273.0,274.0,-1,CONCACAF,1999-10-13
122.0,Luxembourg,LUX,271.0,269.0,-3,UEFA,1999-10-13
124.0,Bahrain,BHR,267.0,271.0,0,AFC,1999-10-13
125.0,Turkmenistan,TKM,266.0,268.0,-1,AFC,1999-10-13
126.0,Myanmar,MYA,264.0,267.0,-1,AFC,1999-10-13
127.0,Sudan,SDN,263.0,286.0,7,CAF,1999-10-13
128.0,Liechtenstein,LIE,260.0,256.0,0,UEFA,1999-10-13
129.0,Eswatini,SWZ,253.0,253.0,-1,CAF,1999-10-13
130.0,Tajikistan,TJK,250.0,252.0,-1,AFC,1999-10-13
131.0,Fiji,FIJ,244.0,253.0,2,OFC,1999-10-13
132.0,Burundi,BDI,238.0,237.0,0,CAF,1999-10-13
120.0,Malta,MLT,287.0,290.0,1,UEFA,1999-10-13
119.0,Mauritius,MRI,289.0,280.0,-2,CAF,1999-10-13
118.0,Sierra Leone,SLE,293.0,302.0,2,CAF,1999-10-13
117.0,Kazakhstan,KAZ,297.0,299.0,-1,UEFA,1999-10-13
116.0,Jordan,JOR,314.0,313.0,1,AFC,1999-10-13
102.0,Kenya,KEN,373.0,373.0,-1,CAF,1999-10-13
103.0,Singapore,SGP,373.0,375.0,2,AFC,1999-10-13
104.0,Haiti,HAI,368.0,354.0,-2,CONCACAF,1999-10-13
105.0,Congo,CGO,366.0,390.0,8,CAF,1999-10-13
106.0,Vietnam,VIE,363.0,363.0,1,AFC,1999-10-13
107.0,Syria,SYR,352.0,352.0,0,AFC,1999-10-13
100.0,Indonesia,IDN,374.0,374.0,-2,AFC,1999-10-13
108.0,Lebanon,LBN,347.0,347.0,-1,AFC,1999-10-13
110.0,Venezuela,VEN,339.0,340.0,-1,CONMEBOL,1999-10-13
111.0,Faroe Islands,FRO,336.0,341.0,1,UEFA,1999-10-13
112.0,Malawi,MWI,329.0,335.0,0,CAF,1999-10-13
113.0,Barbados,BRB,321.0,320.0,0,CONCACAF,1999-10-13
114.0,India,IND,318.0,318.0,0,AFC,1999-10-13
115.0,Malaysia,MAS,317.0,301.0,-2,AFC,1999-10-13
109.0,Uganda,UGA,342.0,351.0,1,CAF,1999-10-13
66.0,Thailand,THA,479.0,478.0,0,AFC,1999-10-13
35.0,Republic of Ireland,IRL,578.0,576.0,1,UEFA,1999-10-13
64.0,North Macedonia,MKD,483.0,471.0,-4,UEFA,1999-10-13
168.0,Eritrea,ERI,118.0,114.0,0,CAF,1999-10-13
166.0,Korea DPR,PRK,132.0,135.0,3,AFC,1999-10-13
165.0,Nepal,NEP,133.0,133.0,0,AFC,1999-10-13
164.0,Botswana,BOT,134.0,135.0,2,CAF,1999-10-13
163.0,Bermuda,BER,134.0,133.0,-1,CONCACAF,1999-10-13
162.0,British Virgin Islands,VGB,135.0,132.0,-4,CONCACAF,1999-10-13
161.0,Suriname,SUR,140.0,141.0,0,CONCACAF,1999-10-13
160.0,Kyrgyz Republic,KGZ,140.0,143.0,1,AFC,1999-10-13
159.0,Maldives,MDV,141.0,141.0,-1,AFC,1999-10-13
158.0,Cayman Islands,CAY,149.0,149.0,0,CONCACAF,1999-10-13
157.0,Rwanda,RWA,151.0,151.0,0,CAF,1999-10-13
156.0,Niger,NIG,155.0,161.0,0,CAF,1999-10-13
155.0,Mauritania,MTN,158.0,162.0,0,CAF,1999-10-13
154.0,Yemen,YEM,162.0,166.0,2,AFC,1999-10-13
153.0,Laos,LAO,165.0,165.0,-1,AFC,1999-10-13
152.0,Dominican Republic,DOM,165.0,165.0,-1,CONCACAF,1999-10-13
151.0,Lesotho,LES,173.0,173.0,0,CAF,1999-10-13
150.0,The Gambia,GAM,173.0,178.0,3,CAF,1999-10-13
149.0,Bangladesh,BAN,176.0,177.0,0,AFC,1999-10-13
148.0,Antigua and Barbuda,ATG,176.0,176.0,-2,CONCACAF,1999-10-13
147.0,Andorra,AND,177.0,177.0,-1,UEFA,1999-10-13
146.0,St Lucia,LCA,180.0,181.0,0,CONCACAF,1999-10-13
145.0,Dominica,DMA,180.0,181.0,0,CONCACAF,1999-10-13
144.0,Sri Lanka,SRI,182.0,184.0,0,AFC,1999-10-13
143.0,Panama,PAN,188.0,193.0,1,CONCACAF,1999-10-13
142.0,San Marino,SMR,189.0,187.0,-1,UEFA,1999-10-13
141.0,Solomon Islands,SOL,193.0,197.0,0,OFC,1999-10-13
140.0,Hong Kong,HKG,196.0,201.0,0,AFC,1999-10-13
139.0,Ethiopia,ETH,198.0,201.0,0,CAF,1999-10-13
169.0,Palestine,PLE,113.0,113.0,0,AFC,1999-10-13
170.0,Guyana,GUY,107.0,107.0,-1,CONCACAF,1999-10-13
171.0,Cambodia,CAM,104.0,104.0,-1,AFC,1999-10-13
172.0,Guinea-Bissau,GNB,104.0,107.0,2,CAF,1999-10-13
202.0,Montserrat,MSR,3.0,3.0,0,CONCACAF,1999-10-13
201.0,Anguilla,AIA,3.0,3.0,0,CONCACAF,1999-10-13
200.0,Guam,GUM,4.0,4.0,0,AFC,1999-10-13
199.0,American Samoa,ASA,6.0,6.0,0,OFC,1999-10-13
198.0,Mongolia,MNG,6.0,6.0,0,AFC,1999-10-13
197.0,Central African Republic,CTA,8.0,8.0,0,CAF,1999-10-13
196.0,Somalia,SOM,14.0,14.0,0,CAF,1999-10-13
195.0,Sao Tome and Principe,STP,15.0,15.0,0,CAF,1999-10-13
194.0,Equatorial Guinea,EQG,15.0,16.0,0,CAF,1999-10-13
193.0,Turks and Caicos Islands,TCA,19.0,19.0,0,CONCACAF,1999-10-13
192.0,Djibouti,DJI,21.0,21.0,0,CAF,1999-10-13
191.0,US Virgin Islands,VIR,32.0,32.0,0,CONCACAF,1999-10-13
190.0,Nicaragua,NCA,41.0,41.0,0,CONCACAF,1999-10-13
189.0,Seychelles,SEY,46.0,47.0,0,CAF,1999-10-13
138.0,St Vincent and the Grenadines,VIN,208.0,211.0,1,CONCACAF,1999-10-13
188.0,Belize,BLZ,46.0,47.0,0,CONCACAF,1999-10-13
186.0,Aruba,ARU,47.0,48.0,0,CONCACAF,1999-10-13
185.0,Chad,CHA,56.0,57.0,0,CAF,1999-10-13
184.0,Brunei Darussalam,BRU,58.0,58.0,0,AFC,1999-10-13
183.0,Puerto Rico,PUR,62.0,64.0,0,CONCACAF,1999-10-13
182.0,Vanuatu,VAN,66.0,67.0,0,OFC,1999-10-13
181.0,Pakistan,PAK,73.0,75.0,0,AFC,1999-10-13
180.0,Philippines,PHI,76.0,77.0,0,AFC,1999-10-13
179.0,Papua New Guinea,PNG,77.0,78.0,0,OFC,1999-10-13
178.0,Cook Islands,COK,77.0,78.0,0,OFC,1999-10-13
177.0,Samoa,SAM,83.0,85.0,0,OFC,1999-10-13
176.0,Tonga,TGA,85.0,86.0,0,OFC,1999-10-13
175.0,Cabo Verde,CPV,86.0,88.0,0,CAF,1999-10-13
174.0,Macau,MAC,91.0,92.0,0,AFC,1999-10-13
173.0,Chinese Taipei,TPE,96.0,98.0,0,AFC,1999-10-13
187.0,Bahamas,BAH,47.0,47.0,0,CONCACAF,1999-10-13
137.0,Libya,LBY,214.0,206.0,-1,CAF,1999-10-13
136.0,St Kitts and Nevis,SKN,218.0,219.0,0,CONCACAF,1999-10-13
135.0,Benin,BEN,219.0,223.0,0,CAF,1999-10-13
33.0,Tunisia,TUN,584.0,593.0,3,CAF,1999-10-13
34.0,Zambia,ZAM,581.0,582.0,1,CAF,1999-10-13
36.0,Bulgaria,BUL,573.0,570.0,0,UEFA,1999-10-13
37.0,Turkey,TUR,568.0,576.0,2,UEFA,1999-10-13
38.0,Egypt,EGY,563.0,565.0,0,CAF,1999-10-13
39.0,Saudi Arabia,KSA,563.0,565.0,0,AFC,1999-10-13
40.0,Korea Republic,KOR,557.0,559.0,0,AFC,1999-10-13
41.0,Trinidad and Tobago,TRI,554.0,554.0,-1,CONCACAF,1999-10-13
42.0,Uruguay,URU,553.0,557.0,1,CONMEBOL,1999-10-13
43.0,Peru,PER,545.0,546.0,-2,CONMEBOL,1999-10-13
44.0,Jamaica,JAM,543.0,547.0,0,CONCACAF,1999-10-13
45.0,Lithuania,LTU,540.0,543.0,-1,UEFA,1999-10-13
46.0,Hungary,HUN,538.0,547.0,3,UEFA,1999-10-13
47.0,Iceland,ISL,537.0,536.0,-2,UEFA,1999-10-13
32.0,Belgium,BEL,584.0,589.0,0,UEFA,1999-10-13
48.0,IR Iran,IRN,537.0,534.0,-2,AFC,1999-10-13
50.0,Switzerland,SUI,530.0,516.0,-3,UEFA,1999-10-13
51.0,Japan,JPN,529.0,533.0,0,AFC,1999-10-13
52.0,Finland,FIN,523.0,499.0,-6,UEFA,1999-10-13
53.0,Slovenia,SVN,523.0,522.0,1,UEFA,1999-10-13
54.0,Ghana,GHA,518.0,543.0,7,CAF,1999-10-13
55.0,Angola,ANG,515.0,507.0,-1,CAF,1999-10-13
56.0,Cameroon,CMR,511.0,515.0,2,CAF,1999-10-13
57.0,Bolivia,BOL,507.0,514.0,2,CONMEBOL,1999-10-13
58.0,Kuwait,KUW,501.0,507.0,1,AFC,1999-10-13
59.0,China PR,CHN,494.0,497.0,0,AFC,1999-10-13
60.0,Zaire,ZAI,493.0,496.0,-1,CAF,1999-10-13
61.0,Ecuador,ECU,490.0,497.0,1,CONMEBOL,1999-10-13
62.0,Georgia,GEO,488.0,493.0,0,UEFA,1999-10-13
63.0,United Arab Emirates,UAE,485.0,487.0,-2,AFC,1999-10-13
49.0,Côte d'Ivoire,CIV,530.0,541.0,1,CAF,1999-10-13
65.0,Latvia,LVA,483.0,493.0,2,UEFA,1999-10-13
31.0,Poland,POL,591.0,595.0,2,UEFA,1999-10-13
29.0,South Africa,RSA,594.0,591.0,-2,CAF,1999-10-13
134.0,Tahiti,TAH,223.0,228.0,0,OFC,1999-10-13
133.0,Madagascar,MAD,231.0,232.0,0,CAF,1999-10-13
1.0,Brazil,BRA,839.0,838.0,0,CONMEBOL,1999-10-13
2.0,Czechia,CZE,771.0,772.0,0,UEFA,1999-10-13
3.0,France,FRA,768.0,766.0,0,UEFA,1999-10-13
4.0,Spain,ESP,767.0,757.0,0,UEFA,1999-10-13
5.0,Germany,GER,734.0,735.0,0,UEFA,1999-10-13
6.0,Croatia,CRO,726.0,727.0,0,UEFA,1999-10-13
7.0,Norway,NOR,716.0,712.0,-2,UEFA,1999-10-13
8.0,Argentina,ARG,713.0,717.0,1,CONMEBOL,1999-10-13
9.0,Romania,ROU,713.0,709.0,-2,UEFA,1999-10-13
10.0,Italy,ITA,709.0,714.0,2,UEFA,1999-10-13
11.0,Mexico,MEX,709.0,709.0,1,CONCACAF,1999-10-13
12.0,England,ENG,688.0,683.0,0,UEFA,1999-10-13
30.0,Greece,GRE,591.0,568.0,-7,UEFA,1999-10-13
13.0,Portugal,POR,686.0,671.0,0,UEFA,1999-10-13
15.0,Yugoslavia,YUG,669.0,656.0,-2,UEFA,1999-10-13
16.0,Netherlands,NED,664.0,668.0,2,UEFA,1999-10-13
17.0,Denmark,DEN,660.0,661.0,1,UEFA,1999-10-13
18.0,Paraguay,PAR,647.0,647.0,0,CONMEBOL,1999-10-13
19.0,Russia,RUS,639.0,642.0,0,UEFA,1999-10-13
20.0,Scotland,SCO,630.0,606.0,-8,UEFA,1999-10-13
21.0,Slovakia,SVK,625.0,620.0,-1,UEFA,1999-10-13
22.0,USA,USA,621.0,621.0,2,CONCACAF,1999-10-13
23.0,Chile,CHI,618.0,618.0,-1,CONMEBOL,1999-10-13
24.0,Ukraine,UKR,618.0,615.0,-3,UEFA,1999-10-13
25.0,Austria,AUT,616.0,615.0,-1,UEFA,1999-10-13
26.0,Colombia,COL,616.0,619.0,3,CONMEBOL,1999-10-13
27.0,Israel,ISR,614.0,618.0,2,UEFA,1999-10-13
28.0,Morocco,MAR,613.0,620.0,7,CAF,1999-10-13
14.0,Sweden,SWE,677.0,667.0,-1,UEFA,1999-10-13
80.0,Northern Ireland,NIR,435.0,441.0,2,UEFA,1999-11-17
55.0,Ghana,GHA,505.0,518.0,1,CAF,1999-11-17
2.0,France,FRA,770.0,768.0,-1,UEFA,1999-11-17
151.0,Lesotho,LES,172.0,173.0,0,CAF,1999-11-17
150.0,Maldives,MDV,174.0,141.0,-9,AFC,1999-11-17
149.0,Antigua and Barbuda,ATG,176.0,176.0,1,CONCACAF,1999-11-17
148.0,St Lucia,LCA,177.0,180.0,2,CONCACAF,1999-11-17
147.0,Dominica,DMA,177.0,180.0,2,CONCACAF,1999-11-17
146.0,Sri Lanka,SRI,180.0,182.0,2,AFC,1999-11-17
145.0,San Marino,SMR,180.0,189.0,3,UEFA,1999-11-17
144.0,Andorra,AND,180.0,177.0,-3,UEFA,1999-11-17
143.0,Panama,PAN,181.0,188.0,0,CONCACAF,1999-11-17
142.0,Solomon Islands,SOL,188.0,193.0,1,OFC,1999-11-17
141.0,Ethiopia,ETH,194.0,198.0,2,CAF,1999-11-17
140.0,St Vincent and the Grenadines,VIN,204.0,208.0,2,CONCACAF,1999-11-17
139.0,Benin,BEN,212.0,219.0,4,CAF,1999-11-17
138.0,Libya,LBY,214.0,214.0,1,CAF,1999-11-17
137.0,St Kitts and Nevis,SKN,218.0,218.0,1,CONCACAF,1999-11-17
136.0,Tahiti,TAH,218.0,223.0,2,OFC,1999-11-17
135.0,Bangladesh,BAN,229.0,176.0,-14,AFC,1999-11-17
134.0,Madagascar,MAD,231.0,231.0,1,CAF,1999-11-17
133.0,Bahrain,BHR,235.0,267.0,9,AFC,1999-11-17
132.0,Fiji,FIJ,237.0,244.0,1,OFC,1999-11-17
131.0,Burundi,BDI,239.0,238.0,-1,CAF,1999-11-17
152.0,The Gambia,GAM,167.0,173.0,2,CAF,1999-11-17
130.0,Eswatini,SWZ,253.0,253.0,1,CAF,1999-11-17
153.0,Laos,LAO,166.0,165.0,0,AFC,1999-11-17
155.0,Nepal,NEP,157.0,133.0,-10,AFC,1999-11-17
177.0,Samoa,SAM,82.0,83.0,0,OFC,1999-11-17
176.0,Tonga,TGA,83.0,85.0,0,OFC,1999-11-17
175.0,Cabo Verde,CPV,84.0,86.0,0,CAF,1999-11-17
174.0,Macau,MAC,88.0,91.0,0,AFC,1999-11-17
173.0,Chinese Taipei,TPE,94.0,96.0,0,AFC,1999-11-17
172.0,Guinea-Bissau,GNB,99.0,104.0,0,CAF,1999-11-17
171.0,Guyana,GUY,107.0,107.0,1,CONCACAF,1999-11-17
170.0,Cambodia,CAM,109.0,104.0,-1,AFC,1999-11-17
169.0,Palestine,PLE,113.0,113.0,0,AFC,1999-11-17
168.0,Eritrea,ERI,118.0,118.0,0,CAF,1999-11-17
166.0,Korea DPR,PRK,130.0,132.0,0,AFC,1999-11-17
165.0,Botswana,BOT,133.0,134.0,1,CAF,1999-11-17
164.0,Bermuda,BER,135.0,134.0,1,CONCACAF,1999-11-17
163.0,British Virgin Islands,VGB,139.0,135.0,1,CONCACAF,1999-11-17
162.0,Suriname,SUR,140.0,140.0,1,CONCACAF,1999-11-17
161.0,Niger,NIG,147.0,155.0,5,CAF,1999-11-17
160.0,Kyrgyz Republic,KGZ,151.0,140.0,0,AFC,1999-11-17
159.0,Rwanda,RWA,151.0,151.0,2,CAF,1999-11-17
158.0,Mauritania,MTN,153.0,158.0,3,CAF,1999-11-17
157.0,Cayman Islands,CAY,155.0,149.0,-1,CONCACAF,1999-11-17
156.0,Yemen,YEM,156.0,162.0,2,AFC,1999-11-17
154.0,Dominican Republic,DOM,165.0,165.0,2,CONCACAF,1999-11-17
178.0,Philippines,PHI,80.0,76.0,-2,AFC,1999-11-17
129.0,Sudan,SDN,255.0,263.0,2,CAF,1999-11-17
127.0,Myanmar,MYA,260.0,264.0,1,AFC,1999-11-17
101.0,New Zealand,NZL,384.0,384.0,2,OFC,1999-11-17
100.0,Haiti,HAI,385.0,368.0,-4,CONCACAF,1999-11-17
99.0,Mozambique,MOZ,386.0,391.0,2,CAF,1999-11-17
98.0,Azerbaijan,AZE,389.0,388.0,0,UEFA,1999-11-17
97.0,Indonesia,IDN,393.0,374.0,-3,AFC,1999-11-17
96.0,Belarus,BLR,395.0,394.0,0,UEFA,1999-11-17
95.0,El Salvador,SLV,399.0,402.0,2,CONCACAF,1999-11-17
94.0,Wales,WAL,401.0,413.0,3,UEFA,1999-11-17
93.0,Moldova,MDA,401.0,401.0,-2,UEFA,1999-11-17
92.0,Qatar,QAT,412.0,419.0,3,AFC,1999-11-17
91.0,Oman,OMA,412.0,406.0,-1,AFC,1999-11-17
90.0,Guinea,GUI,415.0,421.0,2,CAF,1999-11-17
89.0,Togo,TOG,420.0,416.0,-1,CAF,1999-11-17
88.0,Algeria,ALG,426.0,439.0,7,CAF,1999-11-17
87.0,Armenia,ARM,426.0,423.0,0,UEFA,1999-11-17
86.0,Albania,ALB,427.0,433.0,2,UEFA,1999-11-17
85.0,Australia,AUS,432.0,448.0,11,AFC,1999-11-17
84.0,Namibia,NAM,433.0,433.0,-1,CAF,1999-11-17
83.0,Senegal,SEN,434.0,435.0,0,CAF,1999-11-17
